p_vehicle,p_connected,connected_fuel,ordinary_fuel,overall_fuel,connected_time,ordinary_time,overall_time
0.1,0.1,33485.500032122785,36674.66365337573,36355.06859497955,40.905726836628375,46.58033305247253,45.978976672730326
0.1,0.3,32465.79307619324,36818.99056215681,35411.32264102403,40.39471464335308,46.86575834224401,44.75744525275645
0.1,0.5,32020.66289958704,35086.41637973637,33294.47201098658,38.186895594401854,43.76452660148068,40.52744316710594
0.1,0.7,32312.554300083488,34236.70061179185,32884.84738127242,38.29886648050697,43.02295023409966,39.65952058743379
0.1,0.9,32369.13549708578,32832.946088033845,32502.358448205225,38.00218265731686,40.45594488329009,38.41006321653126
0.1,1.0,31520.161774150696,nan,31520.161774150696,37.140192910866794,nan,37.140192910866794
0.3,0.1,43527.846702056355,46796.73925726731,46491.722912258745,58.850263807092745,61.514263069167654,61.26870677507909
0.3,0.3,40304.729186461125,43089.91775602121,42239.1731789786,52.03281222059441,56.20706122957904,54.93184708224944
0.3,0.5,39326.246022247455,41060.50739554517,40163.45308382069,49.986299999303306,53.21893602745469,51.54522094536308
0.3,0.7,36163.44816634384,39090.296305870535,36984.28354266439,44.618434963309575,50.22376427380216,46.17430243476126
0.3,0.9,35241.57684021971,37161.70581276886,35413.70692754161,41.42165468036571,46.304758523737156,41.85715431841896
0.3,1.0,35735.980987360206,nan,35735.980987360206,41.46582726409385,nan,41.46582726409385
0.5,0.1,63550.263526071634,67768.03112948635,67345.17045827131,86.7709706408123,89.38659615932451,89.12050141651386
0.5,0.3,60997.1319779548,64476.938868937315,63415.604707881095,82.30341786332687,86.21725682335469,85.03100644268868
0.5,0.5,58254.081394498775,62026.580123079395,60202.1077525055,76.12065389167185,81.89446899859891,79.09582012378992
0.5,0.7,53654.930362934785,55848.87057567027,54274.14034935688,67.56125946942228,72.394286653041,68.93453597166013
0.5,0.9,47851.995030224716,49811.290367413116,48021.76548157302,57.12724460349487,62.70966056489298,57.612007446986446
0.5,1.0,43458.25908569568,nan,43458.25908569568,49.95604771439831,nan,49.95604771439831
